RAZON_SOCIAL_ADJUDICATARIO,IMPORTE_ADJUDICACION_IVA_INC
"GARTNER ESPAÑA, S.L.",231251.57
"MERINO Y MERINO PRODUCCIONES, S.L.",71311.17
"GLOBAL MEDIA Y ENTERTAINMENT , S.A.U.",68098.8
SERINTCOM SERVICIOS INTEGRALES DE COMUNICACIÓN. JOSÉ ANTONIO RODRÍGUEZ MAURIN,66051.48
"EVENTOS INFIMA, S.L.",52786.79000000001
INSTITUCIÓN FERIAL DE MADRID-IFEMA MADRID,50721.25
"TRABAJOS VERTICALES COSTIN, S.L.",48206.4
"REIN PROYECTOS SINGULARES, S.L.",42174.99
"TEJADOS Y TERRAZAS MADRID, S. L.",38824.67
"INSITUFORM TECHNOLOGIES IBERICA, S.A.",37478.1
