MES,ORGANO_DE_CONTRATACION,IMPORTE_ADJUDICACION_IVA_INC
2025-07,"DIRECTOR/A DE INFRAESTRUCTURAS, OBRAS Y MANTENIMIENTO",6283.76
2025-08,"DIRECTOR/A DE INFRAESTRUCTURAS, OBRAS Y MANTENIMIENTO",886.07
2025-09,GERENTE DE CONDE DUQUE,8815.78
2025-10,COORDINADORA DEL DISTRITO DE CARABANCHEL,17908.0
2025-10,DIRECTORA GENERAL DE EMPRENDIMIENTO,12100.0
2025-10,DIRECTOR/A DE COMUNICACIÓN,12097.58
2025-11,"DIRECTOR/A DE INFRAESTRUCTURAS, OBRAS Y MANTENIMIENTO",167761.16
2025-11,DIRECTOR/A DE PRODUCCIÓN Y COORDINACIÓN TÉCNICA,44667.15
2025-11,DIRECTOR/A GENERAL,30741.93
2025-11,GERENTE DE TEATRO ESPAÑOL Y NAVES DEL ESPAÑOL EN MATADERO MADRID,24200.0
2025-11,"DIRECTOR/A DE RRHH, ORGANIZACIÓN Y FORMACIÓN",15730.0
2025-11,DIRECTOR/A DE COMUNICACIÓN,9319.0
2025-11,GERENTE DE CONDE DUQUE,3630.0
2025-11,DIRECTOR GENERAL DE DEPORTE,2983.07
2025-11,COORDINADORA DEL DISTRITO DE CARABANCHEL,2699.99
2025-11,DIRECTOR/A DE DEPORTES,139.15
2025-12,DIRECTOR/A DE PRODUCCIÓN Y COORDINACIÓN TÉCNICA,360544.1
2025-12,"DIRECTOR/A DE INFRAESTRUCTURAS, OBRAS Y MANTENIMIENTO",179334.08
2025-12,GERENTE DE TEATRO ESPAÑOL Y NAVES DEL ESPAÑOL EN MATADERO MADRID,126066.2
2025-12,DIRECTOR/A GENERAL,110519.51
2025-12,DIRECTORA GENERAL DE PATRIMONIO CULTURAL Y PAISAJE URBANO,53236.2
2025-12,GERENTE DE CONDE DUQUE,29649.89
2025-12,DIRECTOR/A DE DEPORTES,22053.26
2025-12,DIRECTOR/A DE COMUNICACIÓN,21669.9
2025-12,DIRECTOR/A DE TURISMO,20981.4
2025-12,DIRECTOR/A DE RELACIONES INSTITUCIONALES,16489.0
2026-01,DIRECTOR/A DE PRODUCCIÓN Y COORDINACIÓN TÉCNICA,97054.54
2026-01,GERENTE DE CENTROCENTRO,67452.46
2026-01,GERENTE DE TEATRO ESPAÑOL Y NAVES DEL ESPAÑOL EN MATADERO MADRID,65714.22
2026-01,DIRECTOR/A GENERAL,57565.64
2026-01,DIRECTOR/A DE RELACIONES INSTITUCIONALES,54412.8
2026-01,"DIRECTOR/A DE INFRAESTRUCTURAS, OBRAS Y MANTENIMIENTO",45019.0
2026-01,"DIRECTOR GENERAL DE BIBLIOTECAS, ARCHIVOS Y MUSEOS",41580.31
2026-01,CONSEJERO/A DELEGADO/A,34606.0
2026-01,GERENTE DE MATADERO,26061.0
2026-01,SECRETARIA GENERAL TÉCNICA DE POLÍTICAS DE VIVIENDA,24792.9
2026-02,DIRECTOR/A DE PRODUCCIÓN Y COORDINACIÓN TÉCNICA,372246.75
2026-02,DIRECTOR GENERAL DE POLICÍA MUNICIPAL,128637.31
2026-02,GERENTE MADRID SALUD,127690.07
2026-02,"DIRECTOR/A DE INFRAESTRUCTURAS, OBRAS Y MANTENIMIENTO",114285.0
2026-02,COORDINADOR DEL DISTRITO DE FUENCARRAL-EL PARDO,93406.27
2026-02,GERENTE DE TEATRO ESPAÑOL Y NAVES DEL ESPAÑOL EN MATADERO MADRID,83941.87
2026-02,COORDINADOR DEL DISTRITO DE TETUÁN,80671.21
2026-02,COORDINADOR GENERAL DE SEGURIDAD Y EMERGENCIAS,77436.39
2026-02,DIRECTORA GENERAL DE PATRIMONIO CULTURAL Y PAISAJE URBANO,66992.31
2026-02,DIRECTOR/A GENERAL,62768.72
2026-03,GERENTE MADRID SALUD,338988.07
2026-03,COORDINADORA GENERAL DE LA ALCALDÍA,231251.57
2026-03,COORDINADOR GENERAL DE SEGURIDAD Y EMERGENCIAS,185524.5
2026-03,DIRECTOR/A DE PRODUCCIÓN Y COORDINACIÓN TÉCNICA,152219.64
2026-03,GERENTE INFORMÁTICA DEL AYUNTAMIENTO DE MADRID,93366.42
2026-03,DIRECTOR GENERAL DE POLICÍA MUNICIPAL,73552.11
2026-03,DIRECTORA GENERAL DE PATRIMONIO CULTURAL Y PAISAJE URBANO,72373.12
2026-03,DIRECTOR GENERAL DE SOSTENIBILIDAD Y CONTROL AMBIENTAL,72284.79
2026-03,GERENTE AGENCIA PARA EL EMPLEO,64914.520000000004
2026-03,GERENCIA ESPACIO CULTURAL SERRERÍA BELGA,64572.619999999995
